21,Boca Chica; Texas,25.983700,-97.190700,0.0,-718126.917924,-5691989.868097,2777438.039947
22,Cundinamarca (Bogota); Colorado,4.742490,-74.144800,0.0,1736625.878632,-6114614.450309,523810.662599
23,Boorowa; New South Wales; Australia,-34.462100,148.706000,0.0,-4498518.082384,2734496.675058,-3588825.352443
24,Brewster; Washington,48.148600,-119.701000,0.0,-2112414.525508,-3703306.722737,4727915.235803
25,Broadview; Illinois,41.855000,-87.858900,0.0,177752.478130,-4754437.260500,4233620.430351
26,Broken Hill; New South Wales; Australia,-31.998300,141.441000,0.0,-4233690.047110,3374752.989265,-3360270.696540
27,Brunswick; Maine,43.896100,-69.923400,0.0,1580267.135184,-4323753.711037,4399778.788623
28,Buenos Aires; Arkansas,-34.563600,-58.509600,0.0,2746568.316903,-4483678.258212,-3598103.221135
29,Bulla Bulling; Western Australia; Australia,-31.029900,120.820000,0.0,-2802658.513742,4697774.238778,-3268733.737309
30,Caldera; Chile,-27.020000,-70.788000,0.0,1871020.220292,-5369217.141000,-2880189.195666
31,La Caleta; Dominican Republic,18.454000,-69.661700,0.0,2103514.147402,-5674876.539418,2006112.609896
32,Calgary; AB; California,50.998800,-113.907000,0.0,-1629982.623632,-3677051.956590,4933459.275118
33,Calverton; New York,40.908900,-72.797600,0.0,1427641.169032,-4611279.656747,4154781.484490
34,Cataby; Western Australia; Australia,-30.848300,115.619000,0.0,-2369742.130960,4941827.154124,-3251464.783779
35,Caucaia; Brazil,-3.756340,-38.937900,0.0,4950502.509981,-3999961.583650,-415062.953160
36,Centennial; Colorado,39.591900,-104.847000,0.0,-1261132.335439,-4757389.388447,4043170.348704
37,Chalfont Grove; United Kingdom,51.615500,-0.575770,0.0,3968381.940458,-39879.938878,4976350.537454
38,Charcas; Mexico,23.226100,-100.979000,0.0,-1116846.951976,-5756943.982511,2499748.380178
39,Cikarang Barat; Java; Idaho,-6.306290,107.097000,0.0,-1863838.494336,6059630.641307,-695934.309343
40,Cleavdon; New Zealand,-36.989700,175.055000,0.0,-5081694.069159,439675.619613,-3816479.202461
41,Cleavedon; New Zealand,-36.989900,175.056000,0.0,-5081688.437439,439585.776342,-3816496.930940
42,Clinton; Illinois,40.176500,-88.873700,0.0,95924.804263,-4879142.749436,4092977.936775
43,Colburn; Idaho,48.345200,-116.439000,0.0,-1891005.413469,-3802903.926434,4742472.919772
44,Columbus; Ohio,40.062600,-82.771000,0.0,615112.894708,-4849379.294382,4083306.679003
45,Corpus Christi; Texas,27.793100,-97.451900,0.0,-732309.134572,-5598756.277022,2956240.725677
46,Covilha; Portugal,40.265300,-7.478250,0.0,4832264.289547,-634313.590309,4100506.833548
47,Cromwell; New Zealand,-45.061100,169.193000,0.0,-4432748.264818,846153.237989,-4492146.038385
48,Dallas; Texas,32.719500,-96.761900,0.0,-632442.558319,-5333988.760737,3427827.016674
49,Des Moines; New Mexico,36.697500,-103.792000,0.0,-1220626.469124,-4972497.876261,3790528.861977
50,Douglas; Wyoming,42.740100,-105.350000,0.0,-1241934.011884,-4524230.406770,4306340.133613
51,Dubuque; Iowa,42.444600,-90.678500,0.0,-55819.914643,-4713479.762900,4282174.403939
52,Elkton; Maryland,39.630900,-75.909700,0.0,1197521.675999,-4770951.984485,4046506.166858
53,Evanston; Wyoming,41.092500,-110.843000,0.0,-1712806.249163,-4498820.582685,4170169.460865
54,Falda del Carmen; Arkansas,-31.522500,-64.461000,0.0,2346152.515516,-4910206.843697,-3315413.035281
55,Fawley; United Kingdom,50.823300,-1.337710,0.0,4036186.470882,-94251.763614,4921149.034484
56,Foggia; Italy,41.432800,15.658600,0.0,4611187.608684,1292551.969034,4198578.470595
57,Foggia; Italy,41.433400,15.657100,0.0,4611178.985350,1292419.347118,4198628.430545
58,Fortaleza; Brazil,-3.735320,-38.461700,0.0,4983694.761579,-3958773.453173,-412743.548459
59,Frankfurt; Delaware,50.329800,8.470820,0.0,4035187.829268,600962.051221,4886286.984972
60,Fremont; California,37.492100,-121.937000,0.0,-2680341.002173,-4299955.907688,3860867.438736
61,Garrettstown (Ballinspittle); Ireland,51.645000,-8.588050,0.0,3921540.335699,-592240.630924,4978387.896905
62,Kaliakair; Gazipur; Bangladesh,24.066200,90.233400,0.0,-23736.626664,5826910.903785,2584979.357190
63,Goodyear; Arizona,33.412100,-112.413000,0.0,-2032010.606148,-4926854.068275,3492199.520016
64,Goonhilly; United Kingdom,50.049600,-5.181430,0.0,4086866.341569,-370598.457564,4866332.147275
65,Hillsboro; Texas,32.004500,-97.063200,0.0,-665702.038820,-5372707.415501,3360853.719160
66,Hinds; New Zealand,-44.007400,171.572000,0.0,-4545282.470078,673458.763716,-4408681.866409
67,Hitachinaka; Ibaraki; Japan,36.386700,140.614000,0.0,-3973156.763397,3261962.231275,3762819.613349
