 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Elkton, Maryland",-75.9097,39.6309,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204353&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Evanston, Wyoming",-110.843,41.0925,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2021-07-29,--,
"Falda del Carmen, Arkansas",-64.461,-31.5225,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Fawley, United Kingdom",-1.33771,50.8233,Ka,1.85,32,2.1,1.3,25,1,--,--,--,--,--,--,2022-11-14,https://www.ofcom.org.uk/__data/assets/pdf_file/0029/248816/Starlink-Internet-Services-Limited-Fawley.pdf
https://www.ofcom.org.uk/spectrum/space-and-satellites/spacex-application-variation-non-geostationary-gateway-licence,
"Foggia, Italy",15.6586,41.4328,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Foggia, Italy",15.6571,41.4334,Ka,1.85,32,2,1.3,25,1,--,--,--,--,--,--,2025-03-05,--,
"Fortaleza, Brazil",-38.4617,-3.73532,Ka,1.47,9,2.1,1.3,25,1,--,--,--,--,--,--,4/26/2024,--,
"Frankfurt, Delaware",8.47082,50.3298,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Fremont, California",-121.937,37.4921,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901254&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Garrettstown (Ballinspittle), Ireland",-8.58805,51.645,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Kaliakair, Gazipur, Bangladesh",90.2334,24.0662,Ka + E,1.85,80,2.1,1.3,25,1,1.85,80,5,5,25,1,2025-08-01,https://www.thedailystar.net/business/news/starlink-signing-deals-local-firms-expand-footprint-3905826
https://www.tbsnews.net/tech/starlink-goes-live-businesses-bangladesh-over-20-firms-sign-1232706,
"Goodyear, Arizona",-112.413,33.4121,Ka + E,--,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900065&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Goonhilly, United Kingdom",-5.18143,50.0496,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2020-04-01,https://www.ofcom.org.uk/__data/assets/pdf_file/0021/228801/goonhilly-gateway-licence.pdf,
"Hillsboro, Texas",-97.0632,32.0045,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-04-25,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022051400536&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
