 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Hinds, New Zealand",171.572,-44.0074,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Hitachinaka, Ibaraki, Japan",140.614,36.3867,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-08-05,https://www.tele.soumu.go.jp/musen/SearchServlet?pageID=4&IT=A&DFCD=0004402838&DD=1&styleNumber=21,
"Hoofddorp, Netherlands",4.68659,52.2908,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Ibi, Spain",-0.6007,38.6084,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,M ZZ-2101373,
"Ikire, Nigeria",4.2124,7.3875,--,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Isle of Man, United Kingdom",-4.49728,54.1391,Ka,1.47,32,2.1,1.3,25,--,--,--,--,--,--,--,2021-08-18,https://www.ofcom.org.uk/__data/assets/pdf_file/0022/228802/starlink-gateway-licence.pdf
https://www.ofcom.org.uk/spectrum/space-and-satellites/spacex-application-variation-non-geostationary-gateway-licence,
"Itaboraí, Brazil",-42.8728,-22.6967,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"João Câmara, Brazil",-35.817,-5.54612,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2024-03-01,--,
"Juazeiro do Norte, Brazil",-39.3367,-7.21512,--,1.85,32,2.1,1.3,25,1,--,2,2.1,1.3,25,1,2024-04-26,--,
"Kaunas, Lithuania",24.01,54.87,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Grant of Authority, 9+5 of 40 Dec 2023",-81.0305,27.876,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,--,2021-05-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2021060100878&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Kendari, Sulawesi, Idaho",122.511,-3.97744,Ka,1.85,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://www.kominfo.go.id/content/detail/42487/siaran-pers-no-249hmkominfo062022-tentang-keterangan-terkait-izin-hak-labuh-starlink-di-indonesia/0/siaran_pers,
"Ki Ki, South Australia, Australia",139.817,-35.5717,Ka,1.47,8,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10025046,
"Koonwarra, Victoria, Australia",145.951,-38.5181,Ka,1.47,11,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10026280,
"Lekki, Nigeria",3.58773,6.44953,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Lepe, Spain",-7.23614,37.2556,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,M ZZ-2101373,
"Santiago de Surco, Lima, Peru",-76.9752,-12.0869,Ka,1.47,9,2.1,1.3,25,1,--,--,--,--,--,--,2025-03-14,--,
"Lindon, Utah",-111.731,40.3327,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024012800155&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Lisle, Illinois",-88.0961,41.8006,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900066&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Litchfield, Connecticut",-73.354,41.545,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,2020-04-09,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2020041000399&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Llano Grande, Mexico",-99.5811,19.2589,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Lobatse, Botswana",25.7057,-25.2595,Ka + E,1.85,40,2.1,1.3,2,1,1.85,40,5,5,25,1,2025-02-27,https://x.com/WillarShoko/status/1912728785234936262,
"Loeches, Spain",-3.40588,40.401,Ka + E,1.85,24,2.1,1.3,25,1,1.85,24,5,5,25,1,2024-12-19,--,
"Los Angeles, California",-118.318,33.9243,Ka + E,--,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024012800153&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Luz, Brazil",-45.6811,-19.8033,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
