shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
64,2,357.3494832041106,357.37933599514963,357.3644095996301,0.014926395519523794,357.3644095996301,97.2856,97.2859,97.28575000000001,0.00014999999999787406,97.28575000000001,0.00013525,4.349999999999997e-06,15.730354305,5.2345000000286745e-05
65,1,358.9476989848381,358.9476989848381,358.9476989848381,0.0,358.9476989848381,97.2856,97.2856,97.2856,0.0,97.2856,0.0001364,0.0,15.72480354,0.0
66,8,359.32807429803506,361.7677283508019,360.46556753987477,0.8998306237416541,360.2590684192851,53.0409,53.0461,53.04255,0.0014747881203758604,53.0425,0.00051605,0.00023253359972270674,15.71948572125,0.00315178532600723
67,1,362.13939255032983,362.13939255032983,362.13939255032983,0.0,362.13939255032983,97.286,97.286,97.286,0.0,97.286,0.0001499,0.0,15.71362388,0.0
68,2,363.22673252969344,363.3158160075718,363.2712742686326,0.04454173893918778,363.2712742686326,53.0385,53.0417,53.040099999999995,0.0015999999999998238,53.040099999999995,0.0003855,4.58e-05,15.709662380000001,0.00015586000000045175
69,333,360.3073274955668,363.90603845524674,363.4031806640578,0.32194951478227973,363.4641740287325,42.9906,43.0046,43.00010810810811,0.001230039561008592,43.0001,0.0001875336336336336,0.00013584335378176066,15.70920089183183,0.0011268490246458204
70,1,364.65028878687735,364.65028878687735,364.65028878687735,0.0,364.65028878687735,53.1768,53.1768,53.1768,0.0,53.1768,0.0004445,0.0,15.70483818,0.0
71,1,364.9791475060629,364.9791475060629,364.9791475060629,0.0,364.9791475060629,70.0014,70.0014,70.0014,0.0,70.0014,0.0004671,0.0,15.7036881,0.0
72,1,365.08234160789925,365.08234160789925,365.08234160789925,0.0,365.08234160789925,97.2859,97.2859,97.2859,0.0,97.2859,0.0001483,0.0,15.70332724,0.0
73,1,365.38867000791015,365.38867000791015,365.38867000791015,0.0,365.38867000791015,53.0381,53.0381,53.0381,0.0,53.0381,0.0003207,0.0,15.70225612,0.0
74,1,366.691154642157,366.691154642157,366.691154642157,0.0,366.691154642157,97.2858,97.2858,97.2858,0.0,97.2858,0.0001345,0.0,15.69770316,0.0
75,312,365.69686387814727,367.0879846263988,366.82857393185634,0.16572961462725666,366.8787281659397,53.1559,53.1619,53.158551282051285,0.0012437014224240932,53.1587,0.00010988910256410256,4.213243326141919e-05,15.697222943814104,0.0005792109919447181
