shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
355,2,437.2899376578389,437.3102587027506,437.30009818029475,0.01016052245586252,437.30009818029475,42.9944,42.9995,42.99695,0.002549999999999386,42.99695,0.0008128499999999999,0.00068355,15.454135874999999,3.459499999980409e-05
356,1,437.89868024099997,437.89868024099997,437.89868024099997,0.0,437.89868024099997,53.2178,53.2178,53.2178,0.0,53.2178,0.0002093,0.0,15.45209802,0.0
357,1,438.8257771098979,438.8257771098979,438.8257771098979,0.0,438.8257771098979,53.1583,53.1583,53.1583,0.0,53.1583,0.0001293,0.0,15.44894263,0.0
358,1,439.8053040248933,439.8053040248933,439.8053040248933,0.0,439.8053040248933,53.1594,53.1594,53.1594,0.0,53.1594,0.0001109,0.0,15.44560996,0.0
359,1,440.13006551036415,440.13006551036415,440.13006551036415,0.0,440.13006551036415,42.9849,42.9849,42.9849,0.0,42.9849,0.0029663,0.0,15.44450528,0.0
360,1,440.53007617618096,440.53007617618096,440.53007617618096,0.0,440.53007617618096,53.1594,53.1594,53.1594,0.0,53.1594,0.0001144,0.0,15.44314482,0.0
361,1,441.2182374532031,441.2182374532031,441.2182374532031,0.0,441.2182374532031,53.1597,53.1597,53.1597,0.0,53.1597,0.0001219,0.0,15.44080481,0.0
362,2,441.78581064361424,441.8000756226529,441.7929431331336,0.00713248951933565,441.7929431331336,53.1415,53.1601,53.150800000000004,0.009299999999999642,53.150800000000004,0.0001495,3.0699999999999994e-05,15.438851045,2.4245000000533423e-05
363,1,441.9943827221987,441.9943827221987,441.9943827221987,0.0,441.9943827221987,53.0234,53.0234,53.0234,0.0,53.0234,0.0001831,0.0,15.43816633,0.0
364,1,442.5257229049239,442.5257229049239,442.5257229049239,0.0,442.5257229049239,53.1588,53.1588,53.1588,0.0,53.1588,0.0003335,0.0,15.43636049,0.0
365,1,442.60134661470875,442.60134661470875,442.60134661470875,0.0,442.60134661470875,43.0001,43.0001,43.0001,0.0,43.0001,0.0001393,0.0,15.4361035,0.0
366,1,443.09179371546634,443.09179371546634,443.09179371546634,0.0,443.09179371546634,97.2847,97.2847,97.2847,0.0,97.2847,0.0001968,0.0,15.434437,0.0
367,1,443.7355743555099,443.7355743555099,443.7355743555099,0.0,443.7355743555099,53.1591,53.1591,53.1591,0.0,53.1591,0.0001647,0.0,15.43224994,0.0
368,1,444.3931142549718,444.3931142549718,444.3931142549718,0.0,444.3931142549718,53.2163,53.2163,53.2163,0.0,53.2163,0.0003391,0.0,15.43001667,0.0
369,1,445.1170458494489,445.1170458494489,445.1170458494489,0.0,445.1170458494489,53.0656,53.0656,53.0656,0.0,53.0656,0.0003726,0.0,15.42755853,0.0
370,1,445.1614220458632,445.1614220458632,445.1614220458632,0.0,445.1614220458632,97.2853,97.2853,97.2853,0.0,97.2853,0.0001596,0.0,15.42740787,0.0
371,2,445.1623174710394,445.24799688244275,445.20515717674107,0.04283970570168094,445.20515717674107,69.9992,70.0007,69.99995,0.0007499999999964757,69.99995,0.00032399999999999996,7.599999999999995e-06,15.42725939,0.00014543999999983015
372,1,445.4880184306285,445.4880184306285,445.4880184306285,0.0,445.4880184306285,53.1597,53.1597,53.1597,0.0,53.1597,0.0001399,0.0,15.42629913,0.0
373,1,445.8457599160829,445.8457599160829,445.8457599160829,0.0,445.8457599160829,53.1592,53.1592,53.1592,0.0,53.1592,0.0001244,0.0,15.42508481,0.0
374,1,445.9434434717241,445.9434434717241,445.9434434717241,0.0,445.9434434717241,42.9968,42.9968,42.9968,0.0,42.9968,0.0015353,0.0,15.42475326,0.0
375,1,446.07792281575803,446.07792281575803,446.07792281575803,0.0,446.07792281575803,53.1596,53.1596,53.1596,0.0,53.1596,0.0001131,0.0,15.42429684,0.0
376,1,446.2712149742483,446.2712149742483,446.2712149742483,0.0,446.2712149742483,53.1601,53.1601,53.1601,0.0,53.1601,9.78e-05,0.0,15.42364085,0.0
377,1,446.48609801257044,446.48609801257044,446.48609801257044,0.0,446.48609801257044,53.1257,53.1257,53.1257,0.0,53.1257,9.65e-05,0.0,15.42291164,0.0
378,1,447.14556617111066,447.14556617111066,447.14556617111066,0.0,447.14556617111066,53.1596,53.1596,53.1596,0.0,53.1596,0.0001338,0.0,15.42067408,0.0
379,1,447.2825986217904,447.2825986217904,447.2825986217904,0.0,447.2825986217904,97.2842,97.2842,97.2842,0.0,97.2842,0.000167,0.0,15.4202092,0.0
380,1,448.3543527393149,448.3543527393149,448.3543527393149,0.0,448.3543527393149,97.2844,97.2844,97.2844,0.0,97.2844,0.0001573,0.0,15.4165741,0.0
381,1,448.4559776297083,448.4559776297083,448.4559776297083,0.0,448.4559776297083,53.0483,53.0483,53.0483,0.0,53.0483,0.0001895,0.0,15.41622949,0.0
382,1,448.46920704429795,448.46920704429795,448.46920704429795,0.0,448.46920704429795,43.0,43.0,43.0,0.0,43.0,0.0002522,0.0,15.41618463,0.0
383,1,449.70407462116145,449.70407462116145,449.70407462116145,0.0,449.70407462116145,53.0358,53.0358,53.0358,0.0,53.0358,0.0002889,0.0,15.41199824,0.0
